Tweet,Sentiment,Subcategory,Category
"@samararedway I agree with the plane germs thing.. I usually donêt even wait to get to the hotel to change, I change at the airport as soon as a land hahaha",,Transportation Infrastructure,Transportation
"Zara fashion group discussing breaking their lease at a Gold Coast Shopping Centre due to slowing consumer demand. With #Amazon arriving soon retailers need to use data & customer feedback to help drive & evolve a valuable customer proposition  #Fash ... http://bit.ly/2A6vMpH ",Negative,Shopping,Attraction
In the Hotel @ Surfers Paradise Beach,,First class accommodation,Accommodation
Gold Coast council owes me an apology for that disappointment of a firework display,Negative,Live entertainment,Attraction
What a fantastic atmosphere here at theislandgoldcoast hotel! Weêll be back again for sure. ,,First class accommodation,Accommodation
On the panel with backpackers at the Australian Backpacker Industry Conference on the #GoldCoast right now! Interesting backpacker insights!,Positive,Second class accommodation,Accommodation
Amy in Gold Coast City Queensland Australia defends Yugambeh Museum Language and Heritage Research Centre at WomTown  >> Biz promo FREE,Positive,Exhibition entertainment,Attraction
Tour guide's life @rhett.ericsenmiller  #sunsetsafaris #fraserisland #Champagnepools #goldcoast #brisbane... http://fb.me/tfHtJFuO ,Neutral,Tourism agent & operator,Tourism broker
"@Arts_Factory we stayed at backpackers inn on the beach.... two days was not long enough, I'll have to go back soon ;)",,Second class accommodation,Accommodation
Residential Facility Manager - Gold Coast - Aged Care http://dlvr.it/PHn5sX  #healthcare #medical #jobs,Negative,Facility,Service and Ancillary
WATCH: Get a sneak peek of the quirky circus show hitting the GC this week! http://zpr.io/PFiWm  #GoldCoast ,Neutral,Live entertainment,Attraction
Was so good to see this one in Surfers Paradise #unifriends #backpackers #catchup @ Surfers Paradise—,,Second class accommodation,Accommodation
Galleries - Gold Coast World #triathlon Women https://disci.smugmug.com/Sports/Triathlons/2017-Gold-Coast-Women-World-Triathlon-Photos/ † Men https://disci.smugmug.com/Sports/Triathlons/2017-Gold-Coast-Mens-World-Triathlon-photos-WTS-ITU/ † Fb https://www.facebook.com/media/set/?set=a.10208733451283499.1073741882.1528487094&type=1&l=d8d60701cc † #WTSGoldCoast,Neutral,Exhibition entertainment,Attraction
A great spot to stop after a walk up gallery walk to reenergise with a beer and some cheese on Mt Tamborine,,Culture & Tradition,Attraction
Hey ya'll. Looking to a hire a car from 27/12-31/12. Can anyone help a sister out? Needing it in Brisbane to Gold Coast area,Neutral,Transportation Services,Transportation
"The motel may have been demolished in 2004, but at least we still have the heritage-listed 1967—",,First class accommodation,Accommodation
iFLY Indoor Skydiving Gold Coast experience of a lifetime: http://youtu.be/xgjpUswG2Ms?a  via @YouTube,Neutral,Adventure tours and activities,Attraction
Anyone recommend car hire on Gold Coast ?,Neutral,Transportation Services,Transportation
"I'm at Surf N Sun Backpackers in Surfers Paradise, QLD ",,Second class accommodation,Accommodation
Been down had to climb some mountains,,Scenic,Attraction
I got an email about two months after buying it saying it would be posted to me around 2 weeks before the concert,,Live entertainment,Attraction
staying in hostels is actually driving me mad :-),,Second class accommodation,Accommodation
Gold Coast theme park to unveil Australiaês fastest ride http://hallscreekherald.com/2017/08/13/gold-coast-theme-park-to-unveil-australias-fastest-ride/ †,Neutral,Exhibition entertainment,Attraction
Roads closed as police scour Gold Coast forest for armed carjacker: http://www.9news.com.au/national/2016/08/28/13/32/police-hunt-for-two-men-after-armed-carjackings-on-the-gold-coast/?ocid=9newstw † #9News,Negative,Scenic,Attraction
Unexpectedly I saw my friends from Gold Coast in Brisbane tonight!! Brissy has huge firework† https://www.instagram.com/p/BZqpmcfgoVT/ ,Positive,Live entertainment,Attraction
Announcing a international artist that I am hosting today in concert for not only a Brisbane but Gold Coast show... http://fb.me/1k5Ts6WH3 ,Neutral,Live entertainment,Attraction
Stellar cuisine & disarming tranquility. Read about Songbirds Rainforest Retreat: http://bit.ly/2bBQoHV  #goldcoast,Positive,Culture & Tradition,Attraction
Just Pinned to Australia: 10 things to do Gold Coast for kids. Australiaês amusement park capital is a barrel of f† http://ift.tt/2wG9msm ,Neutral,Exhibition entertainment,Attraction
"4 hour Kayak, totaling 7km, seeing amazing beaches, snorkeling, chasing wallabees and thenÛ",,Scenic,Attraction
A bit of sparkle for the Gold Coast Show. Arts & Crafts exhibits finished and dutifully delivered. ,Neutral,Exhibition entertainment,Attraction
Enjoy the view @ Mantra Legends Hotel,,First class accommodation,Accommodation
"Gold Coast council animal circus ban!http://us4.campaign-archive1.com/?u=49be60bd0cc5154fbb09720b1&id=4f7ed468df&e †",Negative,Live entertainment,Attraction
Gold Coast #3: Snorkelling in Surfers Paradise http://dlvr.it/1JWl8h ,Neutral,Adventure tours and activities,Attraction
Slightly jealous of my brothers traveling around the Gold coast and snorkelling the great barrier reef!,Positive,Adventure tours and activities,Attraction
"Hire a party bus Brisbane, Gold coast, Sunshine coast- transport nightclub Melbourne: Black Bow Chauffeur",Negative,Transportation Services,Transportation
Light on the funk but very drinkable. - Drinking a Gate Series: Farmhouse Ale @ Cascade Gardens ,,Second class accommodation,Accommodation
"that concert was so amazing, i had so much fun dancing and singing. im gonna miss you @DUALIPA",,Live entertainment,Attraction
The Frontier Members Pre-sale is now running for @BryanAdams' first ever Bribie Island and Gold Coast shows! http://frontiertouring.com/bryanadams ,Positive,Exhibition entertainment,Attraction
Goldcoast airport to Brisbane | Black Bow Chauffeur Blogs ,Negative,Transportation Services,Transportation
"Last night, having chat with france mate, that's how we do it right,gaining experience (@ Sleeping Inn Backpackers)",,Second class accommodation,Accommodation
"Two years ago yesterday, surfing on surfers paradise, Gold Coast. Two years today, out snorkelling at the great barriers reef ______",Positive,Adventure tours and activities,Attraction
The Gold Coast Wax Museum in Surfers Paradise is Australia's largest Museum of its kind! ,Positive,Exhibition entertainment,Attraction
Grab the kayak and try snorkelling at Wave Break Island! #GoldCoast http://buff.ly/1diNkIU ,Neutral,Adventure tours and activities,Attraction
"Songcheng groupês 1st theme park outside China is on track to open on the Gold Coast in Australia within 3 yearshttp://ow.ly/2B6w30duize ",Neutral,Exhibition entertainment,Attraction
Cheapest Car Hire Gold Coast Airport - 8 SEATER Car Hire: http://youtu.be/XsatYkpezxI?a  via @YouTube,Neutral,Transportation Services,Transportation
Indoor Skydiving - iFly Gold Coast by The Travel Tart: http://youtu.be/Yem4jPy2QHg?a  via @YouTube,Neutral,Adventure tours and activities,Attraction
Night out in surfers paradise @ Backpackers In Paradise ,,Second class accommodation,Accommodation
The video I took of the Gold Coast firework @ Surfer's Paradise here 2 hrs ago http://www.twitvid.com/YJFW1 :),Positive,Live entertainment,Attraction
Room 3 of Budd's in Surfer's Paradise. @ Budds in Surfers Backpackers Resort,,First class accommodation,Accommodation
@ Backpackers In Paradise,,Second class accommodation,Accommodation
Snorkelling on the #goldcoast ,Neutral,Adventure tours and activities,Attraction
Just saw the commercial and IDêd the problem. Tacky arrives by plane and hire car on the Gold Coast.  #InstantHotelAu,Neutral,Transportation Services,Transportation
"Gold Coast Followers......__CIRCUS STARS__CIRCUS TRAINING FOR KIDS ON THE  AUTISM SPECTRUM.....__Kim http://fb.me/5eO0B5Zbg ",Neutral,Live entertainment,Attraction
#skydiving Indoor Skydiving at iFly Surfers Paridise 2017 + Gold Coast Vlog - http://skydivinghq.net/indoor-skydiving-at-ifly-surfers-paridise-2017-gold-coast-vlog/ † #RT #Retweet,Neutral,Adventure tours and activities,Attraction
#roadtrips & cupcakes # abandoned house # farmhouse #roadtrips#australiagram #thisisqueensland,,Second class accommodation,Accommodation
Laois Ladies trained over the weekend at the Gold Coast Sports Training Facility __ ,Neutral,Facility,Service and Ancillary
Hire airport transfer from brisbane to gold coast http://buff.ly/2tT3xof_ @ Black Bow Chauffeur https://www.instagram.com/p/BWhstDZlOdv/_,Neutral,Transportation Services,Transportation
"I've seen plenty of drunk women doing stuff, going home with plenty of sex buddies in Gold coast, dons night club at Alan Bond Uriatory etc. So don't try to act like yews are Virgin Marys having such a hard time in this vulgar world yews created saying it's 4 women's freedom.",Negative,Live entertainment,Attraction
"Sunday Morning Walks Grateful for the fresh ocean air we breathe, the clean beaches we walk",,Scenic,Attraction
#waxmusuem #goldcoast #surferparadise #australia #michaeljackson @ Wax Museum http://instagram.com/p/dq7BrStlh9/ ,Neutral,Exhibition entertainment,Attraction
is2g there's so many cute guys at the airport I don't want to go,,Transportation Infrastructure,Transportation
The Townês summer concert series is coming to a close so donêt miss out on the Gold Coast Orchestra at 1 p.m. at North Hempstead Beach Park ,Neutral,Live entertainment,Attraction
I have one free day when I'm up Gold Coast - should I take a 2hr train to Brisbane for the art gallery???,Positive,Culture & Tradition,Attraction
A fire caused by a stray firework almost turned into a disaster at tobacco tycoon Travers Beynon's extravagant party at his Gold Coast,Neutral,Live entertainment,Attraction
Gold Coast Adventure Deals - Living Social: Rock Climbing Fun with a Weekly Term Pass to Little Monkeys Saturday... http://bit.ly/TO8GIc ,Positive,Adventure tours and activities,Attraction
The hostel on Australia's Gold Coast that's made from SAND http://dailym.ai/2xdoxrv  via http://dailym.ai/android ,Neutral,Second class accommodation,Accommodation
"An Aussie I met while traveling Europe is my tour guide when I go Oz, taken me too Byron bay and Gold Coast __",Neutral,Tourism agent & operator,Tourism broker
Since Tuesday Ive been working with emerging artists in the gold coast for Circus Corridor's incubator program..! ,Neutral,Live entertainment,Attraction
"Roads to be closed as 30,000 people flock to Surfers for firework spectacular http://zpr.io/Pk5aE  #GoldCoast ",Positive,Live entertainment,Attraction
Our Yr.7 & 8 leaders at Game Over Gold Coast; testing their skills at Rock-climbing and enjoying a game of Laser Tag.,Negative,Adventure tours and activities,Attraction
I love when tall people push in and stand right in front of you at a concert so you can no longer see,,Live entertainment,Attraction
HAPPY NEW YEAR FROM GOLD COAST ____ // The whole firework lasted for 9mins and there was a spontaneous† http://instagram.com/p/ilv6Tai9pp/ ,Positive,Live entertainment,Attraction
"Tour guide's life @owl_galaxy  #sunsetsafaris #moretonisland #brisbane #goldcoast #thisisqueensland #seeaustralia http://fb.me/5sIP94Cn9 ",Neutral,Tourism agent & operator,Tourism broker
